"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-por-que-playbook-morre.webp","image/webp","86472","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-automatizar-preservar.webp","image/webp","92242","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-handoff-mql-sql.webp","image/webp","84676","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-o-que-muda-b2b-complexo-1.webp","image/webp","84732","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-comite-material.webp","image/webp","75008","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-plays-de-comite.webp","image/webp","103760","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-marketing-vs-vendas-tabela.webp","image/webp","58700","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-funil-unico%20(1).webp","image/webp","59796","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/news-metricas-01-funil-volume-custo.webp","image/webp","60136","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/news-metricas-02-cadeia-custo.webp","image/webp","72628","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-calculo-trafego.webp","image/webp","62090","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-higiene-pipeline.webp","image/webp","79286","1","Indexable","",""
"https://lnhvxmehdrecgqiovzdl.supabase.co/storage/v1/object/public/media/diagrama-estimar-ltv-complexo.webp","image/webp","79372","1","Indexable","",""
